run_id,algorithm,silhouette_score,n_clusters,eps,min_samples,metric,linkage,init,n_init,covariance_type,n_components,init_params,davies_bouldin_score,calinski_harabasz_score
29deb3714bf149a18f296f2ab49e8f6f,Hierarchical,0.3114953859585504,5,0,0,manhattan,complete,,0,,0,,1.016720535588124,0.0
117dbc6383a24f778c6744503633106d,Hierarchical,0.3395825241214361,5,0,0,euclidean,complete,,0,,0,,0.8636454194800172,0.0
abc527878b414c319a4a836bc2d7b03f,Hierarchical,0.21840055637630165,5,0,0,manhattan,average,,0,,0,,0.8286419266156916,0.0
91694d77428b42b7851e59398c6e992b,Hierarchical,0.34692663132854756,5,0,0,euclidean,average,,0,,0,,0.8559963571877305,0.0
ceed144c2a6f498e80e48820d764a3a0,Hierarchical,0.22944729576520706,3,0,0,manhattan,complete,,0,,0,,1.424875862260491,0.0
ea601f859d02464e8bbbf74a0275d1ab,Hierarchical,0.3072747114240453,3,0,0,euclidean,complete,,0,,0,,1.2020244907311666,0.0
ed193708432542d4bda35b8597069a7d,Hierarchical,0.3547671879932295,3,0,0,manhattan,average,,0,,0,,0.8633418525340306,0.0
2e91add36a22464e9f1699e9b21e5cbe,Hierarchical,0.3547671879932295,3,0,0,euclidean,average,,0,,0,,0.8633418525340306,0.0
009d0b66626c4403baaef2d632f5c4b3,DBSCAN,-1.0,0,1.0,4,manhattan,,,0,,0,,-1.0,0.0
b891289bd7934a948d879798305fab71,DBSCAN,-1.0,0,1.0,4,euclidean,,,0,,0,,-1.0,0.0
8430f068ccf1491fbd61b54c4889b04d,DBSCAN,0.5158060484332898,0,1.0,2,manhattan,,,0,,0,,0.5276979216449267,0.0
0738926d73154909ac39e44bd6a69a82,DBSCAN,0.2928703168821421,0,1.0,2,euclidean,,,0,,0,,0.7079015267605112,0.0
8b3b402f5cb84f8d9a031890e94075cc,DBSCAN,-1.0,0,0.5,4,manhattan,,,0,,0,,-1.0,0.0
4d8f644e544d4f678ddd47671af3538e,DBSCAN,-1.0,0,0.5,4,euclidean,,,0,,0,,-1.0,0.0
0f591bb1461c435f9b788ea5cf95f71c,DBSCAN,0.8305430230740423,0,0.5,2,manhattan,,,0,,0,,0.1811062654925497,0.0
b28487f0fb314382972f13fd2b84892d,DBSCAN,0.8305430230740423,0,0.5,2,euclidean,,,0,,0,,0.1811062654925497,0.0
b635ea0be0e2445c92dd89df180b090b,KMeans,0.34117714079236433,5,0,0,,,random,20,,0,,0.9080575502347097,0.0
